"id";"pieza_ordenador";"precio";"pais_origen"
"  Z99RR ";"Tarjeta gráfica, NVIDIA";"N370,24 £";"Tailandia"
"   3MYRB ";"Tarjeta gráfica, NVIDIA";"525,44 £";"Estados Unidos"
"  49KQC  ";"Memoria RAM, Kingston";"449,40 TL";"Estados Unidos"
" KOJ7P  ";"Tarjeta gráfica, NVIDIA";"114,86 €";"Taiwán"
"  J40XB  ";"Procesador, Intel";"353,68 £";"Corea del Sur"
"   6JUQD ";"Placa base, ASUS";"979,77 TL";"Tailandia"
"  EO2BJ ";"Placa base, ASUS";"418,77 €";"Taiwán"
"  I6Y0B  ";"Tarjeta gráfica, NVIDIA";"466,18 TL";"Estados Unidos"
" US65C   ";"Tarjeta gráfica, NVIDIA";"186,97 TL";"Estados Unidos"
" FC33R  ";"Placa base, ASUS";"673,50 £";"Estados Unidos"
" QJ5GL ";"Placa base, ASUS";"897,66 €";"Taiwán"
"   U4K5O   ";"Procesador, Intel";"565,90 €";"Estados Unidos"
"   VTH50 ";"Procesador, Intel";"185,27 TL";"Tailandia"
" 6SKHN ";"Procesador, Intel";"D667,69 €";"Taiwán"
"  TK191  ";"Placa base, ASUS";"534,19 €";"Estados Unidos"
"  906VR ";"Tarjeta gráfica, NVIDIA";"89,75 €";"Tailandia"
"   UKZSY ";"Placa base, ASUS";"231,62 €";"Taiwán"
"   60KH0   ";"Disco duro, Seagate";"734,18 €";"Corea del Sur"
"  KCA8H ";"Procesador, Intel";"15,40 £";"Estados Unidos"
"   V51UU ";"Placa base, ASUS";"143,82 TL";"Corea del Sur"
" 88360  ";"Placa base, ASUS";"210,38 £";"China"
"   A2EY1 ";"Procesador, Intel";"421,67 £";"China"
"  22S0N   ";"Placa base, ASUS";"518,25 €";"Taiwán"
" 10KDQ  ";"Memoria RAM, Kingston";"962,15 €";"China"
" 7352T   ";"Disco duro, Seagate";"151,36 €";"China"
"   VLF2T   ";"Memoria RAM, Kingston";"U851,37 TL";"Corea del Sur"
"   499GO  ";"Disco duro, Seagate";"760,48 £";"Corea del Sur"
"  G5CYD   ";"Tarjeta gráfica, NVIDIA";"234,51 £";"China"
"  FZE1K  ";"Placa base, ASUS";"942,86 TL";"Tailandia"
"  7UKVV   ";"Procesador, Intel";"167,28 £";"China"
"  C3B4Q ";"Disco duro, Seagate";"911,64 €";"Tailandia"
"  1AVAS ";"Disco duro, Seagate";"665,25 TL";"Estados Unidos"
"   JOCOZ  ";"Memoria RAM, Kingston";"756,19 TL";"China"
"   ANZN7  ";"Tarjeta gráfica, NVIDIA";"605,96 £";"China"
" ACT0U ";"Procesador, Intel";"658,54 £";"Taiwán"
"  NGJ1Y   ";"Memoria RAM, Kingston";"343,88 £";"China"
"   8T2QF ";"Tarjeta gráfica, NVIDIA";"t557,89 €";"Estados Unidos"
" F7F69   ";"Tarjeta gráfica, NVIDIA";"V36,21 €";"Estados Unidos"
" 02JIN   ";"Memoria RAM, Kingston";"859,22 £";"Tailandia"
"  6G2VP  ";"Tarjeta gráfica, NVIDIA";"Z522,77 €";"China"
"  HIE9T  ";"Tarjeta gráfica, NVIDIA";"209,63 €";"Tailandia"
"  BE7OP ";"Procesador, Intel";"56,32 TL";"Tailandia"
"   TSS2R   ";"Procesador, Intel";"536,38 €";"Corea del Sur"
"   YAZFP  ";"Memoria RAM, Kingston";"L83,95 TL";"Taiwán"
"  ECYJ3  ";"Disco duro, Seagate";"591,66 TL";"Estados Unidos"
"  DBPCN   ";"Tarjeta gráfica, NVIDIA";"312,87 €";"Taiwán"
" LZ0DV   ";"Disco duro, Seagate";"364,52 TL";"Estados Unidos"
"   A4R64   ";"Memoria RAM, Kingston";"n123,58 €";"China"
"  H9EL5   ";"Placa base, ASUS";"49,78 €";"China"
"  88WK8   ";"Tarjeta gráfica, NVIDIA";"816,48 €";"Taiwán"
"  4TEF3   ";"Placa base, ASUS";"118,48 £";"China"
"   RM9DP   ";"Disco duro, Seagate";"726,77 £";"Taiwán"
"  IYAN6  ";"Disco duro, Seagate";"v256,41 £";"Estados Unidos"
" 99VMX ";"Disco duro, Seagate";"25,68 TL";"China"
" RIOKE ";"Tarjeta gráfica, NVIDIA";"392,91 €";"Tailandia"
"   AK9ME ";"Placa base, ASUS";"420,19 £";"Corea del Sur"
" B7XNS   ";"Placa base, ASUS";"438,81 €";"Taiwán"
"  2RIKX   ";"Tarjeta gráfica, NVIDIA";"886,32 €";"Estados Unidos"
"   ORB1I   ";"Disco duro, Seagate";"19,52 £";"Taiwán"
"  9FYYR   ";"Placa base, ASUS";"733,10 €";"Tailandia"
"  H2ZC8 ";"Disco duro, Seagate";"603,52 £";"Tailandia"
"   XZNQP   ";"Tarjeta gráfica, NVIDIA";"62,32 €";"Tailandia"
"   MWE85  ";"Disco duro, Seagate";"445,66 €";"China"
"   CQX60   ";"Procesador, Intel";"582,86 £";"China"
"   2R220   ";"Disco duro, Seagate";"42,81 £";"Taiwán"
"  P9A16   ";"Procesador, Intel";"453,68 £";"China"
" M1NO6   ";"Disco duro, Seagate";"375,56 €";"Corea del Sur"
"   YEYXP  ";"Procesador, Intel";"E316,13 TL";"Estados Unidos"
"   WCIWN   ";"Procesador, Intel";"498,67 €";"Taiwán"
" 6DZ1V  ";"Memoria RAM, Kingston";"27,16 €";"Taiwán"
" Y8FQI   ";"Procesador, Intel";"211,15 TL";"Estados Unidos"
"  06HS0  ";"Disco duro, Seagate";"434,99 £";"Corea del Sur"
"   SBEJ0 ";"Memoria RAM, Kingston";"319,50 TL";"Tailandia"
"   PFVFO   ";"Procesador, Intel";"432,63 TL";"Tailandia"
" X3MRC ";"Tarjeta gráfica, NVIDIA";"k16,65 €";"Tailandia"
"  NG1SI  ";"Procesador, Intel";"463,70 €";"China"
"   AA14J  ";"Placa base, ASUS";"273,30 €";"China"
"   OK64Z  ";"Procesador, Intel";"Z519,31 £";"China"
" V6059   ";"Placa base, ASUS";"512,81 £";"Taiwán"
"   OCJ3R ";"Disco duro, Seagate";"l711,80 TL";"Taiwán"
"   VS3GH   ";"Disco duro, Seagate";"330,64 £";"China"
"   89O1J ";"Memoria RAM, Kingston";"H325,14 £";"Estados Unidos"
"   KIE7O ";"Disco duro, Seagate";"875,11 TL";"Taiwán"
" 5XMMS ";"Memoria RAM, Kingston";"621,19 £";"Corea del Sur"
"   INL2M   ";"Memoria RAM, Kingston";"817,66 TL";"Taiwán"
"   Q0N3T  ";"Memoria RAM, Kingston";"638,58 TL";"China"
"   VO5TL  ";"Memoria RAM, Kingston";"344,56 €";"China"
"  FUH16   ";"Procesador, Intel";"825,29 £";"Taiwán"
"   ZG0U7  ";"Disco duro, Seagate";"93,33 TL";"Corea del Sur"
"   K331P   ";"Procesador, Intel";"m118,25 €";"Tailandia"
" 9FR81 ";"Procesador, Intel";"776,53 £";"Tailandia"
"  BP5UT   ";"Procesador, Intel";"807,58 TL";"Estados Unidos"
"  Z06IG   ";"Procesador, Intel";"732,53 €";"Corea del Sur"
" OK4OL  ";"Memoria RAM, Kingston";"204,15 TL";"China"
"  L61VC   ";"Procesador, Intel";"971,93 £";"Corea del Sur"
"   V51HR   ";"Tarjeta gráfica, NVIDIA";"208,61 €";"Tailandia"
"   1CCDN  ";"Placa base, ASUS";"51,14 TL";"China"
" LIWY7  ";"Procesador, Intel";"82,52 €";"Estados Unidos"
"   PYPP6 ";"Placa base, ASUS";"124,91 £";"Corea del Sur"
"  JUOOI ";"Memoria RAM, Kingston";"489,90 TL";"Corea del Sur"
" N9L36 ";"Procesador, Intel";"984,49 TL";"Corea del Sur"
"   KI4FA   ";"Disco duro, Seagate";"401,16 €";"Corea del Sur"
"   UH1UJ  ";"Disco duro, Seagate";"498,28 TL";"Corea del Sur"
"  L0Q5M   ";"Memoria RAM, Kingston";"157,90 £";"Taiwán"
" V1GSQ ";"Procesador, Intel";"910,11 £";"Taiwán"
" 5KHAA  ";"Procesador, Intel";"712,51 €";"Estados Unidos"
"   F5XWQ   ";"Tarjeta gráfica, NVIDIA";"619,35 TL";"Estados Unidos"
"  0ZE9Q   ";"Tarjeta gráfica, NVIDIA";"s256,84 £";"Corea del Sur"
" JP3GM  ";"Disco duro, Seagate";"m385,26 £";"China"
"  PWTBG  ";"Tarjeta gráfica, NVIDIA";"404,62 TL";"Taiwán"
"  8FKOB  ";"Procesador, Intel";"920,94 €";"Tailandia"
"  W2FGD   ";"Placa base, ASUS";"645,69 TL";"Estados Unidos"
" PSC8R  ";"Disco duro, Seagate";"c173,36 TL";"Estados Unidos"
" J724O ";"Disco duro, Seagate";"534,68 €";"China"
" 7JA6P ";"Memoria RAM, Kingston";"852,62 TL";"Estados Unidos"
"  82XC7  ";"Placa base, ASUS";"704,13 £";"Corea del Sur"
"  X2BLW ";"Procesador, Intel";"842,65 £";"Estados Unidos"
"  NESNP   ";"Tarjeta gráfica, NVIDIA";"438,87 £";"Taiwán"
"  2J6NS   ";"Tarjeta gráfica, NVIDIA";"497,19 £";"China"
"  U5LJF  ";"Disco duro, Seagate";"720,46 TL";"Corea del Sur"
" TGAJT  ";"Placa base, ASUS";"701,82 TL";"Tailandia"
" 4AWJP  ";"Disco duro, Seagate";"155,35 £";"Taiwán"
"   XM3FP ";"Disco duro, Seagate";"904,71 €";"Tailandia"
"   0YGZV  ";"Memoria RAM, Kingston";"d133,43 €";"Taiwán"
"  3JLMS   ";"Placa base, ASUS";"258,19 £";"Corea del Sur"
"  FFW7Y  ";"Placa base, ASUS";"670,70 €";"Taiwán"
"  AQBB6   ";"Placa base, ASUS";"945,77 TL";"Corea del Sur"
" D1U3V  ";"Placa base, ASUS";"89,48 €";"Corea del Sur"
"  CXZNK  ";"Memoria RAM, Kingston";"615,28 TL";"Estados Unidos"
"   9OGOL ";"Disco duro, Seagate";"640,62 £";"Tailandia"
"   EQ86U   ";"Tarjeta gráfica, NVIDIA";"464,32 £";"Tailandia"
"   CIZKL  ";"Disco duro, Seagate";"992,81 €";"Tailandia"
"   WODX2   ";"Procesador, Intel";"117,27 TL";"Taiwán"
"  BL5XX  ";"Disco duro, Seagate";"968,81 TL";"China"
"  H0YAW  ";"Procesador, Intel";"816,34 €";"Taiwán"
" 7C6P0   ";"Placa base, ASUS";"74,83 £";"Corea del Sur"
" XMH1W ";"Disco duro, Seagate";"331,79 €";"China"
"   9CC0C  ";"Memoria RAM, Kingston";"399,13 £";"Tailandia"
"  E1HB1 ";"Disco duro, Seagate";"595,40 £";"Estados Unidos"
" C4VS5   ";"Disco duro, Seagate";"98,73 £";"Tailandia"
" ELOB0  ";"Disco duro, Seagate";"804,66 £";"Corea del Sur"
"  2GFGX   ";"Memoria RAM, Kingston";"83,90 £";"China"
" F4GUX   ";"Procesador, Intel";"980,33 €";"Corea del Sur"
" 1Q2W6 ";"Disco duro, Seagate";"190,99 TL";"Tailandia"
" P8Y4G  ";"Disco duro, Seagate";"c193,80 €";"Estados Unidos"
"   SAW6P ";"Disco duro, Seagate";"672,27 €";"Tailandia"
"  U4U1P   ";"Memoria RAM, Kingston";"165,30 TL";"Taiwán"
"  T45NM   ";"Memoria RAM, Kingston";"645,44 TL";"Taiwán"
"   NES5V ";"Disco duro, Seagate";"216,90 £";"Estados Unidos"
" YY3UY  ";"Procesador, Intel";"d478,81 £";"Estados Unidos"
"   8D4X2 ";"Disco duro, Seagate";"952,95 €";"Taiwán"
"   MHFJC ";"Memoria RAM, Kingston";"182,82 TL";"Estados Unidos"
"   40F1D ";"Memoria RAM, Kingston";"994,77 €";"Corea del Sur"
"  RZFG4 ";"Procesador, Intel";"718,65 £";"Tailandia"
" DVLYR ";"Disco duro, Seagate";"351,52 £";"Estados Unidos"
"   A6HVH   ";"Disco duro, Seagate";"824,21 £";"Taiwán"
"   QPJ3I   ";"Procesador, Intel";"751,56 £";"Tailandia"
" 0UV6R  ";"Tarjeta gráfica, NVIDIA";"305,39 €";"Estados Unidos"
"   G3IGH   ";"Procesador, Intel";"16,38 €";"Corea del Sur"
"  V302R ";"Tarjeta gráfica, NVIDIA";"856,20 TL";"Taiwán"
"  JS4IQ   ";"Memoria RAM, Kingston";"158,15 £";"Taiwán"
" E4HCB  ";"Procesador, Intel";"868,43 £";"Estados Unidos"
" WX8L2   ";"Placa base, ASUS";"979,10 €";"Taiwán"
"   B0BDJ  ";"Procesador, Intel";"697,25 €";"Estados Unidos"
"  CA7O4 ";"Procesador, Intel";"374,38 TL";"China"
